file	http	dns	connect	tls	ttfb	total	error
01_open_head.txt	302	0.000043	0.032282	0.067600	0.123862	0.123948	
02_open_follow.txt	200	0.000085	0.035211	0.072580	0.263648	0.342959	
03_lookup.txt	200	0.000044	0.042299	0.083234	0.128471	0.128538	
04_users_create.txt	200	0.000049	0.027737	0.066264	0.110734	0.110789	
05_devices_rebind.txt	502	0.000048	0.023568	0.055520	0.095336	0.095367	
06_public_open_head.txt	302	0.106610	0.211462	0.410647	0.506797	0.506890	
07_public_open_follow_max25.txt	200	0.054807	0.218355	0.479588	2.738671	25.345360	curl: (28) Operation timed out after 25346 milliseconds with 20769 bytes received
