"cycle","run","connected_ms","ui_connected","probe_successes","probe_failures","probe_timed_out","vpn_active","vpn_validated","tun_interface","tun_rx_delta","tun_tx_delta","false_connected"
"1","reconnect_001_20260901_165442","5801","True","2","2","False","True","True","tun0","22898","10600","False"
"2","reconnect_002_20260901_165514","5575","True","4","0","False","True","True","tun1","26384","5787","False"
"3","reconnect_003_20260901_165531","5594","True","1","3","False","True","True","tun0","16888","7786","True"
