"cycle","run","verification_seen","probe_process_started","probe_start_unix_ms","native_probe_pass","native_probe_fail","verifying_real_http_passes","verifying_real_http_failures","connected_real_http_passes","connected_real_http_failures","real_http_passes","real_http_failures","real_traffic_pass","classification","vpn_active","vpn_validated","vpn_validated_seen","tun_interface","tun_rx_delta","tun_tx_delta","final_ui","connected_to_verifying","outbound_invalidations"
"1","manual_01_20260901_201415","True","True","1788282858937","False","True","0","2","0","0","0","2","False","B","False","False","True","tun0","416","1119","OTHER","0","0"
"2","manual_02_20260901_201441","True","True","1788282884537","False","True","0","2","0","0","0","2","False","B","False","False","True","tun0","436","514","OTHER","0","0"
"3","manual_03_20260901_201506","True","True","1788282909661","False","True","0","2","0","0","0","2","False","B","False","False","True","tun0","416","499","OTHER","0","0"
