"cycle","run","connected_ms","startup_rejected","ui_connected","probe_successes","probe_failures","probe_timed_out","vpn_active","vpn_validated","tun_interface","tun_rx_delta","tun_tx_delta","false_connected"
"1","reconnect_001_20260901_180638","0","True","False","0","0","False","False","False","","0","0","False"
"2","reconnect_002_20260901_180703","0","True","False","0","0","False","False","False","","0","0","False"
"3","reconnect_003_20260901_180723","0","True","False","0","0","False","False","False","","0","0","False"
