"cycle","run","connected_ms","ui_connected","probe_successes","probe_failures","probe_timed_out","vpn_active","vpn_validated","tun_interface","tun_rx_delta","tun_tx_delta","false_connected"
"1","reconnect_001_20260901_163441","5628","True","3","1","False","True","True","tun0","15073","5031","False"
"2","reconnect_002_20260901_163516","5636","True","2","2","False","True","True","tun0","14899","7817","False"
"3","reconnect_003_20260901_163549","3997","True","3","1","False","True","True","tun0","23367","9300","False"
"4","reconnect_004_20260901_163623","2863","True","2","2","False","True","True","tun1","12441","8095","False"
"5","reconnect_005_20260901_163654","6467","True","4","0","False","True","True","tun0","30713","8860","False"
"6","reconnect_006_20260901_163712","6503","True","4","0","False","True","True","tun1","16410","5339","False"
"7","reconnect_007_20260901_163729","5600","True","1","3","False","True","True","tun0","13158","7642","False"
