"service","hostname","resourceCategory","cname","routeBefore","browserFailureBefore","routeAfter","browserResultAfter","ruleChange"
"2GIS","tile0.maps.2gis.com","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
"2GIS","mapgl.2gis.com","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
"2GIS","keys.api.2gis.com","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
"2GIS","ams2-cdn.2gis.com","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
"2GIS","jam.api.2gis.com","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
"2GIS","tile3.maps.2gis.com","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
"2GIS","disk.2gis.com","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
"2GIS","ams2-cdn.2gis.com","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
"2GIS","disk.2gis.com","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
"HH","vk.com","BROWSER_RESOURCE","NOT_EXPOSED_BY_CDP","RU_IP_MATCH_REQUIRED","NONE_OBSERVED","DIRECT/REMOTE","LOADED_OR_NON_FATAL_RESOURCE","NO_SERVICE_RULE_CHANGE; ZAPRET_RU_IP_MATCHED"
