"preset","publicExitIpHashes","exitMatchesDirect","webRtcPublicIpHashes","publicIpv6Observed","country","asn","asnCategory","dnsCountry","timezone","language","warnings","verdict"
"Direct","hmac-sha256:082b8cfbf20cfbeaac5a62083f05cae31f12ea88c21cf6d8091e860a53b9fb83|hmac-sha256:cff8e61b2f1bc7a653709d1e391286438b903349107a5662762611841a01104d","BASELINE","hmac-sha256:082b8cfbf20cfbeaac5a62083f05cae31f12ea88c21cf6d8091e860a53b9fb83","false","NOT_CAPTURED","NOT_CAPTURED","NOT_CAPTURED","NOT_CAPTURED","Europe/Moscow (device)","ru (browser UI)","NONE_OBSERVED_ON_RU_SERVICES","BASELINE"
"Russia","hmac-sha256:082b8cfbf20cfbeaac5a62083f05cae31f12ea88c21cf6d8091e860a53b9fb83|hmac-sha256:8f7915e50b79d5bccaf7ee00b9c7d375994e67bfc5dabb84884e621e939c1edb|hmac-sha256:cff8e61b2f1bc7a653709d1e391286438b903349107a5662762611841a01104d","true","hmac-sha256:8f7915e50b79d5bccaf7ee00b9c7d375994e67bfc5dabb84884e621e939c1edb","false","NOT_CAPTURED","NOT_CAPTURED","NOT_CAPTURED","NOT_CAPTURED","Europe/Moscow (device)","ru (browser UI)","NONE_OBSERVED_ON_RU_SERVICES","DIRECT_EXIT_HASH_MATCH; COUNTRY_ASN_INCONCLUSIVE"
"Global","hmac-sha256:8f7915e50b79d5bccaf7ee00b9c7d375994e67bfc5dabb84884e621e939c1edb|hmac-sha256:082b8cfbf20cfbeaac5a62083f05cae31f12ea88c21cf6d8091e860a53b9fb83|hmac-sha256:cff8e61b2f1bc7a653709d1e391286438b903349107a5662762611841a01104d","true","hmac-sha256:8f7915e50b79d5bccaf7ee00b9c7d375994e67bfc5dabb84884e621e939c1edb","false","NOT_CAPTURED","NOT_CAPTURED","NOT_CAPTURED","NOT_CAPTURED","Europe/Moscow (device)","ru (browser UI)","GOSUSLUGI|ESIA|WILDBERRIES|OZON|2GIS","DISTINCT_VPN_HASH; NO_PUBLIC_IPV6; COUNTRY_ASN_INCONCLUSIVE"
