"preset","siteId","service","kind","requestedHostname","currentHostname","browserStatus","visualNote","readyState","bodyTextLength","imageCount","completeImageCount","resourceCount","failedResourceCount","mainStatus","mainProtocol","mainTtfbMs","protocols","rootRoute","rootDns","rootMatchedRule","rootMatchedRuleSet","routeDecisions","dnsDecisions","ipFamilies","generationCount","mixedRouting","captureId"
"direct","avito","Avito","mandatory","www.avito.ru","m.avito.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","1954","28","26","285","16","301","h2","229.4","h2|h3|UNKNOWN|http/1.1|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075105Z-c53cdee7"
"direct","megamarket","Megamarket","mandatory","megamarket.ru","megamarket.ru","INCONCLUSIVE","Strict visual/DOM completeness gate not met","interactive","992","32","30","191","7","200","h2","375.03","h2|http/1.1|websocket|UNKNOWN|h3","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075150Z-2e6968be"
"direct","yandex_market","Yandex Market","mandatory","market.yandex.ru","market.yandex.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","2979","53","45","274","2","200","h2","261.6","h2|http/1.1|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075245Z-ed989a6f"
"direct","vk","VK","mandatory","vk.com","m.vk.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","242","1","1","191","8","301","h2","5.5","h2|http/1.1","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075257Z-cefa4039"
"direct","mail","Mail.ru","mandatory","mail.ru","mail.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","2581","16","16","166","6","200","h2","138.12","h2|UNKNOWN|http/1.1","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075309Z-fc92741d"
"direct","ok","OK","mandatory","ok.ru","ok.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","213","25","9","414","4","200","h2","254.21","h2|http/1.1|websocket|UNKNOWN|h3","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075321Z-4b06589b"
"direct","dzen","Dzen","mandatory","dzen.ru","dzen.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","5470","4","2","101","0","200","http/1.1","161.47","http/1.1|h2|websocket|UNKNOWN","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075334Z-258b3546"
"direct","twogis","2GIS","mandatory","2gis.ru","2gis.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","1251","3","3","103","3","200","h2","290.26","h2|h3|http/1.1|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075346Z-e6a8facd"
"direct","rutube","Rutube","mandatory","rutube.ru","rutube.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","13450","299","178","325","2","200","http/1.1","2126.31","http/1.1|h2|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075358Z-c65c6368"
"direct","rustore","RuStore","mandatory","www.rustore.ru","www.rustore.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","12057","419","98","170","2","200","h2","94.03","h2|http/1.1","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075414Z-67d0a3b7"
"direct","rzd","RZD","mandatory","www.rzd.ru","www.rzd.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","2871","11","11","79","0","200","http/1.1","413.32","http/1.1|h2|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075426Z-87738b7a"
"direct","aeroflot","Aeroflot","mandatory","www.aeroflot.ru","www.aeroflot.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","1593","7","7","103","7","200","h2","434.09","h2|http/1.1|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075437Z-087c9031"
"direct","hh","HH","mandatory","hh.ru","penza.hh.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","5172","37","33","203","0","302","h2","119.76","h2|http/1.1|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075449Z-652fd710"
"direct","ria","RIA","mandatory","ria.ru","ria.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","6148","44","40","237","2","200","h2","88.2","h2|http/1.1|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075502Z-4c324fdb"
"direct","lenta","Lenta","mandatory","lenta.ru","lenta.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","1593","108","6","222","15","200","h2","145.61","h2|http/1.1|websocket|UNKNOWN|h3","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075513Z-394d3045"
"direct","ru_public_exit","RU public exit","diagnostic","2ip.ru","2ip.ru","PASS","Diagnostic page visually loaded with privacy redaction","complete","1345","3","3","74","3","200","h2","271.93","h2|UNKNOWN|http/1.1|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075526Z-3596a07b"
"direct","global_public_exit","Global public exit","diagnostic","ipinfo.io","ipinfo.io","PASS","Diagnostic page visually loaded with privacy redaction","complete","7273","30","8","39","1","200","h2","3.35","h2|UNKNOWN|h3","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075537Z-ef143f5a"
"direct","ipv6","IPv6","diagnostic","test-ipv6.com","test-ipv6.com","PASS","Diagnostic page visually loaded with privacy redaction","complete","1096","8","8","21","7","200","http/1.1","3.52","http/1.1|UNKNOWN","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075548Z-ae635398"
"direct","dns_region","DNS region","diagnostic","browserleaks.com","browserleaks.com","PASS","Diagnostic page visually loaded with privacy redaction","complete","1082","7","7","59","25","200","h2","483.91","h2|http/1.1|UNKNOWN","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075558Z-c37a3b29"
"direct","webrtc","WebRTC","diagnostic","browserleaks.com","browserleaks.com","PASS","Diagnostic page visually loaded with privacy redaction","complete","844","1","1","10","1","200","h2","504.94","h2|UNKNOWN","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075608Z-81050eab"
"direct","browser_consistency","Timezone and language","diagnostic","browserleaks.com","browserleaks.com","PASS","Diagnostic page visually loaded with privacy redaction","complete","5566","0","0","9","0","200","h2","409.24","h2","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075619Z-550164ee"
"direct","su_suffix",".su suffix route","diagnostic","ripn.su","ripn.su","PASS","Diagnostic page visually loaded with privacy redaction","complete","1651","24","11","64","1","200","h2","176.5","h2|http/1.1|UNKNOWN|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075629Z-e49a7a42"
"direct","rf_suffix",".xn--p1ai suffix route","diagnostic","xn--80aa3ak5a.xn--p1ai","xn--80aa3ak5a.xn--p1ai","PASS","Diagnostic page visually loaded with privacy redaction","complete","7495","60","60","141","2","200","h2","186.45","h2|http/1.1|websocket","NO_TUN","SYSTEM","","","","","","0","NO","20260731T075641Z-1663b94f"
"russia","gosuslugi","Gosuslugi","mandatory","www.gosuslugi.ru","www.gosuslugi.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","1296","46","46","182","12","200","h2","115.65","h2|http/1.1|UNKNOWN","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T073503Z-414018c9"
"russia","esia","ESIA","mandatory","esia.gosuslugi.ru","esia.gosuslugi.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","373","2","2","53","14","302","http/1.1","124.98","http/1.1|h3|UNKNOWN|h2","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T073516Z-112b47f2"
"russia","goskey","Goskey public page","mandatory","goskey.ru","goskey.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","925","5","5","21","4","200","http/1.1","250.53","http/1.1|h2|h3|UNKNOWN","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T073527Z-2906f83b"
"russia","nalog","Nalog","mandatory","www.nalog.gov.ru","www.nalog.gov.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","4294","39","39","103","5","301","h2","95.42","h2|UNKNOWN|http/1.1","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T073537Z-03bf3167"
"russia","mos","Mos.ru","mandatory","www.mos.ru","www.mos.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","4414","23","23","117","10","200","h2","148.68","h2|UNKNOWN|http/1.1","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T073550Z-99c7a2a4"
"russia","cbr","Central Bank","mandatory","cbr.ru","cbr.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","3827","18","18","75","1","200","h2","172.52","h2|UNKNOWN","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T095308Z-a72d72a6"
"russia","sbp","SBP","mandatory","sbp.nspk.ru","sbp.nspk.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","2265","55","10","143","1","200","h2","132.58","h2|UNKNOWN","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T073613Z-aa6827f4"
"russia","sber","Sber","mandatory","www.sberbank.ru","www.sberbank.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","3377","37","19","119","20","200","h2","156.19","h2|UNKNOWN|http/1.1","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T073627Z-496f73b7"
"russia","tbank","T-Bank","mandatory","www.tbank.ru","www.tbank.ru","PASS","Visual page, DOM and essential resource shell loaded","complete","6576","184","174","432","24","200","h2","394.72","h2|UNKNOWN","DIRECT","DIRECT","route[8]:route","zapret-ru-domains","DIRECT","DIRECT","IPv4","1","NO","20260731T073638Z-4ade75c3"
